구분(지역),관리센터명,센터유형,연락처,주소,주소(세)
경남,샘동네지역아동센터,아동복지시설,055-244-5894,경남 창원시 마산회원구 회원북28길 95-1 (회원동),.
경남,자산지역아동센터,아동복지시설,055-223-7942,경남 창원시 마산합포구 자산북3길 18-17 (자산동),2층
경남,사천중앙요양원,노인복지시설,055-786-7400,경남 사천시 사천읍 읍내1길 37,.
강원,예샘의집,장애인복지시설,033-748-1008,"강원 원주시 행구로 102 (봉산동, 동신아파트)",104-101
대구,지역아동센터 대구광역시지원단,기타,053-476-1613,대구 남구 효서길 8 (봉덕동),2층
인천,늘편안한요양원,노인복지시설,032-933-9786,인천 강화군 하점면 고려산로 553-4,-
인천,성운실버케어,노인복지시설,032-433-3457,인천 미추홀구 경원대로 865 (주안동),4층
인천,참사랑요양원,노인복지시설,032-330-7420,인천 부평구 장제로 73 (부평동),3층
인천,인천시지체장애인협회 중구지회,사회복지분야 법인/단체,032-764-8300,인천 중구 참외전로72번길 25 (전동),1층
인천,(A+)동행노인복지센터,노인복지시설,032-432-3651,인천 남동구 남동대로 901 (간석동),2층
인천,검단희망요양원,노인복지시설,032-564-3997,인천 서구 완정로 159 (왕길동),701호
인천,새소망요양원,노인복지시설,032-434-1660,인천 남동구 구월로131번길 41 (간석동),-
인천,늘편한요양원,노인복지시설,032-528-8511,인천 서구 도요지로42번길 21-1 (경서동),-
충북,사회적협동조합 휴먼케어,기타,043-212-9194,충북 청주시 청원구 율천북로 183 (율량동),302호
부산,효원어린이집,아동복지시설,051-702-0485,"부산 해운대구 세실로 158 (좌동, 동부아파트)",효원어린이집
강원,춘천다원요양원,노인복지시설,033-241-3000,강원 춘천시 동내면 거두길 20-13,.
경남,진주사회활동지원센터,장애인복지시설,055-763-1663,경남 진주시 도동천로 152 (상대동),1 2층 진주사회활동지원센터
광주,사무엘공동생활가정,아동복지시설,062-251-6438,광주 동구 필문대로171번길 27-7 (산수동),사무엘공동생활가정
경기,사회복지법인 바다의별,사회복지분야 법인/단체,031-271-4982,경기 수원시 장안구 장안로458번길 138 (이목동),바다의별
경기,예성노블주간보호센터,노인복지시설,031-953-0188,경기 파주시 문산읍 당동2로 11-4,예성노블주간보호센터
경기,케이티앤지 경기본부,기업체,031-254-0629,경기 수원시 팔달구 매산로 37 (매산로2가),2층
경기,헤리티지너싱홈,노인복지시설,031-8022-0175,경기 성남시 분당구 대왕판교로 155 (금곡동),헤리티지너싱홈
경기,사랑채재가노인복지센터,노인복지시설,031-424-3663,경기 의왕시 내손로 88-6 (내손동),1호 
경기,대야실버요양원,노인복지시설,031-313-5588,경기 시흥시 대은로103번길 7 (대야동),4층
경기,천수원요양원,노인복지시설,031-766-7703,경기 광주시 퇴촌면 가새골길 16-10,천수원요양원
경기,좋은날,정신요양시설,031-618-7293,"경기 평택시 통미로 18 (합정동, 가원주택)",가동 301호
경기,우리꿈터,장애인복지시설,031-8039-6210,경기 성남시 분당구 황새울로311번길 9 (서현동),1006호
경기,가람주야간보호센터,노인복지시설,0,경기 화성시 봉담읍 삼천병마로 1268,황현건물 4층
대구,도원노인복지센터,노인복지시설,053-290-5004,대구 달서구 월곡로35길 82 (상인동),2층
대구,유니에즈,기타,053-341-7962,대구 북구 대학로23길 25-4 (산격동),유니에즈
충북,사랑케어,노인복지시설,043-212-8890,충북 청주시 청원구 내수읍 은곡길 9,사랑케어
충북,새순노인요양공동생활가정,기타,043-263-0693,충북 청주시 흥덕구 과상미로101번길 27-1 (봉명동),새순노인요양공동생활가정
충북,수가성종합노인복지센터,노인복지시설,043-745-3196,충북 영동군 영동읍 오정1길 16,수가성종합노인복지센터
충북,미리내,장애인복지시설,043-235-9887,충북 청주시 청원구 공항로 61-1 (내덕동),"202,203,301호"
충북,충주삼성요양원,노인복지시설,043-847-1100,충북 충주시 국원대로 184 (연수동),2층
충북,에이플러스 동행노인복지센터,기타,043-234-3651,충북 청주시 흥덕구 2순환로 1265 (가경동),"4,5층"
충북,꿈터,장애인복지시설,043-844-5550,"충북 충주시 중원대로 3379 (문화동, 럭키문화아파트)",106-304
충북,VIP요양원,노인복지시설,043-253-9988,충북 청주시 청원구 오창읍 과학산업3로 78-12,VIP요양원
충북,본정노인요양원,노인복지시설,043-537-8300,충북 진천군 문백면 농다리로 80-8,본정노인요양원
충북,사단법인 충북지역복지개발회 다함께돌봄센터,기타,043-653-5025,"충북 제천시 청풍호로10길 31 (강제동, 강저코아루파크)",충북지역복지개발회 다함께돌봄센터
충북,가인어린이집,아동복지시설,043-292-1991,"충북 청주시 상당구 용정로 35 (용정동, 용정 한라비발디 2단지)",가인어린이집
충북,충주시육아종합지원센터,아동복지시설,043-845-7505,충북 충주시 남한강로 40 (금릉동),충주시육아종합지원센터
충북,옥천수북요양원,노인복지시설,043-731-2822,충북 옥천군 옥천읍 지용로 207,옥천수북요양원
충북,천사요양원,노인복지시설,043-252-1005,충북 청주시 청원구 내덕로 35 (내덕동),천사요양원
대전,해드림노인복지센터,노인복지시설,042-282-5055,대전 동구 동구청로 95 (가오동),8층 해드림노인복지센터
대전,예지지역아동센터,아동복지시설,042-582-1765,대전 중구 보문산로 30 (산성동),(산성동 120-5)
대전,대전광역시립으능정이어린이집,아동복지시설,042-721-1261,대전 중구 대종로488번길 9 (은행동),(은행동 142-6)
대전,드림주야간보호센터,노인복지시설,042-525-3328,대전 중구 계백로 1715 (오류동),경복궁메디컬파크 6층 601호
대전,우리들장애인주간보호센터,장애인복지시설,042-823-6243,대전 유성구 계룡로18번길 8 (구암동),1층
대구,연세숲속요양원,노인복지시설,053-716-7888,대구 북구 장태실길 13 (팔달동),연세숲속요양원
대전,한국요양원,노인복지시설,042-623-8868,대전 동구 동서대로1668번길 11 (성남동),(성남동 496-8)
대전,경험놀이어린이집,아동복지시설,042-541-0550,"대전 유성구 대정로28번안길 80 (대정동, 대전드리움아파트2단지)",관리동
대전,어울림 보호작업장,장애인복지시설,042-486-3894,대전 서구 만년로68번길 15-26 (만년동),(만년동 354) 5층 502호
대구,한사랑장애인공동생활가정,장애인복지시설,053-943-0448,대구 동구 반야월북로57길 37-3 (신서동),동해빌 C동 401호
대전,그린하트어린이집,아동복지시설,042-823-2777,"대전 유성구 동서대로 725 (원신흥동, 어울림하트)",어울림하트@1212-103
대전,예솔어린이집,아동복지시설,042-822-2205,대전 유성구 계룡로52번길 82 (구암동),(구암동 608-6)
대전,생각나무어린이집,아동복지시설,042-822-2446,"대전 유성구 원신흥로 37 (원신흥동, 도안휴먼시아10단지)",휴먼시아 관리동
대전,청춘학교,노인복지시설,042-254-2007,대전 중구 대흥로157번길 48 (대흥동),(대흥동 147-9) 4층
대전,진솔주간보호센터,노인복지시설,042-825-9928,대전 유성구 반석로 20 (반석동),플러스존 4층
대전,샤론원장애인주간보호센터,장애인복지시설,042-585-9525,대전 중구 대둔산로494번길 24 (산성동),샤론원장애인주간보호센터
전남,장동지역아동센터,아동복지시설,061-862-7684,전남 장흥군 장동면 흥성로 1551,장동우체국 2층
전남,함평성애노인요양센터,노인복지시설,061-322-2561,전남 함평군 함평읍 남일길 79,.
전남,예담요양센터,노인복지시설,061-532-3811,전남 해남군 해남읍 안동길 5-22,.
전남,고흥나눔노인복지센터,노인복지시설,061-832-2146,전남 고흥군 남양면 침교길 89,.
전남,행복한요양원,노인복지시설,061-746-5707,전남 순천시 신흥2길 16 (남정동),.
전남,하늘빛요양원,노인복지시설,061-453-0887,전남 무안군 망운면 망운로 80-34,.
전남,나주시빛가람아동쉼터,아동복지시설,061-335-2050,"전남 나주시 한빛로 61 (빛가람동, 빛가람우미린아파트)",102동 302호
전남,청산뜨락지역아동센터,아동복지시설,061-555-5399,전남 완도군 청산면 도청길 10,1층
전남,샘물지역아동센터,아동복지시설,061-381-0759,전남 담양군 담양읍 신성길 23,.
부산,서구장애인복지관 주간보호센터,노인복지시설,051-242-3930,부산 서구 보수대로154번길 36 (동대신동1가),서구장애인복지관 주간보호센터
전남,사회적기업스마일에듀넷주식회사,기타,061-363-4041,전남 곡성군 오산면 오산로 254-4,.
전남,순천사랑노인복지시설,노인복지시설,061-755-7555,"전남 순천시 삼산로 81 (용당동, 용당동 동아아파트)",.
전남,공립알록달록지역아동센터,아동복지시설,061-352-9151,전남 영광군 염산면 칠산로2길 3,.
광주,빛날장애인주간보호센터,장애인복지시설,062-382-5250,광주 서구 상무대로868번길 17-18 (쌍촌동),빛날장애인주간보호센터
충남,디딤돌지역아동센터,아동복지시설,041-567-9575,충남 천안시 서북구 성거읍 천흥4길 57, 디딤돌지역아동센터
경기,수산나네집 뜰안,아동복지시설,031-675-0087,경기 안성시 대덕면 신령로 234-3,2층
경기,사회복지법인 다올,장애인복지시설,031-675-9848,경기 안성시 보개면 보개원삼로 723-24,다올
경기,한사랑너싱홈,노인복지시설,031-675-0911,경기 안성시 죽산면 용설로 372,한사랑너싱홈
경기,보은의집,노인복지시설,031-297-4774,경기 화성시 봉담읍 복만터길 29-22,보은의집
경기,플러스원노인요양원,노인복지시설,031-591-3311,경기 남양주시 경춘로 1511-1 (호평동),플러스원노인요양원
경기,온누리사랑채병설주간보호센터,노인복지시설,031-681-8600,경기 평택시 안중읍 서해로 1141-21,온누리사랑채병설주간보호센터
경기,참사랑요양원,노인복지시설,031-671-7899,경기 안성시 대덕면 한사울길 54-9,참사랑요양원
경기,믿음의집,노인복지시설,031-351-8291,경기 화성시 우정읍 성신재길 72-4,믿음의집
경기,일동행복요양원,노인복지시설,031-531-0309,경기 포천시 일동면 화동로 850,2층
경기,큰나무교실지역아동센터,아동복지시설,031-790-2948,경기 하남시 덕풍천서로 9 (신장동),별관1층
경기,재활플러스주간보호센터,노인복지시설,031-851-9985,경기 의정부시 오목로205번길 1 (민락동),예스타워 505호
경기,의정부시희망회복일시보호소,노숙인복지시설,031-846-4232,경기 의정부시 동일로711번길 41-2 (금오동),의정부시희망회복일시보호소
광주,다온직업재활센터,장애인복지시설,062-571-2072,광주 북구 양일로 66 (연제동),201호
광주,한울장애인주간보호센터,장애인복지시설,062-944-1119,광주 광산구 앰코로 35 (쌍암동),3층 315호
경남,사)사랑나눔 종이비행기,기타,055-265-1119,"경남 창원시 의창구 도계로 102 (도계동, 대남상가아파트)",300호
경남,진양노인통합지원센터,노인복지시설,055-743-3466,경남 진주시 명석면 진주대로 2116,.
세종,한소망요양원,노인복지시설,044-868-0411,세종특별자치시 조치원읍 이화로 22-1,1층
경남,경남내부기관장애인예방재활협회,장애인복지시설,055-746-2830,경남 진주시 장대로 13 (장대동),3층
충남,푸른아이지역아동센터,아동복지시설,041-555-3464,충남 천안시 서북구 성거읍 소우문덕길 5 (하늘빛아파트), 하늘빛아파트 단지내 상가 301호
충남,우리노인주간보호센터,기타,041-555-0330,충남 천안시 동남구 목천읍 신계1길 23, 우리노인주간보호센터
충남,천안플래티늄요양원,노인복지시설,041-411-2000,충남 천안시 서북구 동서대로 135 (성정동), 501호
충남,백화노인복지관,노인복지시설,041-675-9422,충남 태안군 태안읍 백화로 13, 백화노인복지관
충남,충남아산지역자활센터,기타,041-546-1814,충남 아산시 염치읍 은행나무길 223, 103호
충남,꿈찬공동생활가정,아동복지시설,041-554-2855,"충남 천안시 서북구 미라15길 24 (쌍용동, 대우타워아파트)", 102동 104호
부산,화명재활데이케어센터,노인복지시설,051-361-3858,부산 북구 금곡대로285번길 16 (화명동),7층
울산,지역아동센터 정말잘돼,아동복지시설,052-211-0100,울산 중구 옥교로 1 (옥교동),3층
경북,하나지역아동센터,아동복지시설,054-954-3996,경북 고령군 대가야읍 대가야로 1533 (해동디오팰리스),상가2층
서울,(사)장애인평생지원협회,기타,02-2043-6910,서울 송파구 송파대로 260 (가락동),5층
서울,정원실버요양원,노인복지시설,02-470-1723,서울 강동구 양재대로124길 41 (길동),4층
서울,효정,장애인복지시설,02-989-3148,서울 강북구 삼양로77길 38 (수유동),-
서울,닥터참사랑데이케어센터,노인복지시설,02-711-0333,서울 용산구 원효로 155 (원효로2가),"1, 3층"
서울,에이원데이케어센터,노인복지시설,02-2699-9692,서울 양천구 중앙로 312 (신정동),1층
경북,다소니지역아동센터,아동복지시설,054-772-9262,경북 경주시 외동읍 모화남1길 21,2층
경북,아띠보호작업장,장애인복지시설,054-763-9400,경북 경주시 강동면 안계길 51,.
경북,김천시니어클럽,노인복지시설,054-432-2552,경북 김천시 대항면 덕전길 308-65,.
부산,의료법인 서호의료재단,보건의료,051-754-2222,부산 수영구 수영로 563 (광안동),71
제주,유진단기거주시설,장애인복지시설,064-747-1371,제주특별자치도 제주시 해안마을2길 7-10 (해안동),유진단기거주시설
전북,지평선요양원,노인복지시설,063-542-2200,전북 김제시 서낭당길 121-5 (요촌동),.
세종,누리뜰어린이집,기타,044-863-5570,세종특별자치시 시청대로 370 (반곡동),E동 국책연구단지
부산,동아대학교 대신요양병원,보건의료,051-960-0139,부산 서구 대신공원로 32 (동대신동3가),동아대학교 대신요양병원
경기,재단법인 열린문청소년재단,청소년복지시설,031-772-0970,경기 양평군 양평읍 미리내길171번길 24,재단법인 열린문청소년재단
경기,솔직업훈련센터,장애인복지시설,031-458-0700,경기 군포시 고산로151번길 30 (당정동),202호
서울,강북효심요양원1,노인복지시설,02-987-8879,서울 강북구 삼양로77가길 9 (수유동),4층
서울,옹달샘지역아동센터,아동복지시설,02-2690-1813,서울 양천구 오목로 15 (신월동),203호
서울,더효재활데이케어센터,노인복지시설,02-2201-8975,서울 광진구 용마산로 37 (중곡동),2층
서울,서울특별시정신재활시설협회,사회복지분야 법인/단체,02-391-2176,서울 마포구 백범로31길 21 (공덕동),604호
서울,나이팅게일너싱홈,노인복지시설,02-583-6711,"서울 동작구 남부순환로255길 8 (사당동, 장미빌라)","101호, 301호"
서울,래그랜느보호작업장,장애인복지시설,02-445-0919,서울 강남구 양재대로55길 13 (일원동),지하
서울,오손도손복지센터,노인복지시설,02-998-5600,서울 도봉구 해등로16길 106 (창동),3층
서울,영광시각장애인주간보호센터,장애인복지시설,02-395-0900,서울 서대문구 세무서10길 54 (홍제동),1층
전북,(사)한국장애인연맹전라북도DPI,기타,063-852-7269,전북 익산시 익산대로 191 (창인동2가),1층
경기,이천시장애인주간보호시설 효양동산,장애인복지시설,031-633-8874,경기 이천시 부발읍 죽당로 36,효양동산
경기,다사랑장애인단기거주시설,장애인복지시설,031-354-0315,경기 화성시 정남면 서봉로851번길 130,다사랑장애인단기거주시설
경남,자작나무,아동복지시설,070-8908-7744,경남 김해시 삼안로279번길 9 (삼방동),.
경남,두리골해맑은아이들의집,아동복지시설,055-335-2246,경남 김해시 삼안로255번길 20-16 (삼방동),1층
경북,영주시수어통역센터,장애인복지시설,054-634-3611,경북 영주시 광복로46번길 15 (영주동),.
부산,나래실버데이케어,노인복지시설,051-761-6701,부산 수영구 수영로 690-5 (광안동),나래실버데이케어
부산,사단법인 비에스날빛자원봉사후원회,사회복지분야 법인/단체,051-711-3883,부산 해운대구 반송순환로 142 (반송동),해운대캠퍼스 M동 9907-1호
충북,괴산군수어통역센터,기타,043-833-2454,충북 괴산군 괴산읍 읍내로2길 27-10,괴산군수어통역센터
충북,부모사랑요양원,노인복지시설,043-743-1007,충북 영동군 영동읍 계산로3길 10,부모사랑요양원
경북,지좌행복한홈스쿨지역아동센터,아동복지시설,054-436-4435,경북 김천시 체육공원길 45 (지좌동),.
경북,의성군장애인보호작업장,장애인복지시설,054-832-5700,경북 의성군 의성읍 북원2길 39,.
경북,경산지역아동센터,아동복지시설,053-818-8800,경북 경산시 원효로28길 32 (계양동),계양종합상가 3층
경북,경북서북부학대피해노인전용쉼터,노인복지시설,070-4220-4896,경북 예천군 예천읍 충효로 424-21,.
경북,가야실버빌,노인복지시설,054-933-9341,경북 성주군 금수면 성주로 1966,.
강원,실버랜드재가노인복지센터,노인복지시설,033-637-0203,강원 속초시 동해대로 4024 (조양동),", 3층 310호(조양동 제일프라자)"
전북,다솜지역아동센터,아동복지시설,063-353-9053,전북 장수군 장수읍 덕산로 16,2층
전북,전주재활주야간보호센터,노인복지시설,063-227-4021,전북 전주시 완산구 홍산남로 11-8 (효자동2가),.
전북,로뎀나무지역아동센터,아동복지시설,063-232-1091,전북 전주시 덕진구 금상길 42 (산정동),.
인천,효나눔노인복지센터,노인복지시설,032-818-5438,인천 연수구 학나래로118번길 30 (선학동),3층
인천,효드림노인복지센터,노인복지시설,032-518-1800,인천 부평구 마장로 338 (산곡동),남양빌딩 3층
인천,희망요양원,노인복지시설,032-542-3496,인천 계양구 길마로 33 (효성동),"미추홀프라자 3층, 4층"
인천,남동노인요양센터,노인복지시설,032-466-9988,인천 남동구 소래로 640 (만수동),"호성빌딩 지1층, 2~5층"
경기,푸르메스마트팜서울농원 시립장애인영농직업재활시설,장애인복지시설,031-572-4025,경기 남양주시 진접읍 양진로 725,푸르메스마트팜서울농원 시립장애인영농직업재활시설
경기,희망노인전문요양원,노인복지시설,031-267-1200,경기 화성시 기안길 74-6 (기안동),희망노인전문요양원
경기,주식회사 삼천복(SK 실버타운),노인복지시설,031-520-5252,경기 시흥시 배곧4로 32-19 (정왕동),"4층,5층"
전남,효나눔재가노인복지센터,노인복지시설,061-392-9700,전남 장성군 진원면 만수길 47,효나눔재가노인복지센터
전남,은빛미소노인주간보호센터,노인복지시설,061-984-6783,전남 목포시 하당남부로 92 (옥암동),1층
전남,나들목지역아동센터,아동복지시설,070-4226-1764,전남 무안군 삼향읍 남악5로60번길 31-1,나들목지역아동센터
경남,사회복지법인 사천시사회복지협의회,사회복지분야 법인/단체,055-831-5790,경남 사천시 동금5길 15 (동금동),.
경남,사회복지법인 의령군사회복지협의회,사회복지분야 법인/단체,070-4902-8666,경남 의령군 의령읍 의병로24길 25-52,102호
경남,사회복지법인 김해시사회복지협의회,사회복지분야 법인/단체,055-313-7285,경남 김해시 인제로51번길 9 (어방동),2층
경남,김해시장애인단체연합회,장애인복지시설,055-335-7970,경남 김해시 인제로 258 (삼방동),1층
경남,선일데이케이센터,노인복지시설,055-261-7573,경남 창원시 의창구 사림로 53 (사림동),201호
충남,A+행복한요양원,노인복지시설,041-734-4578,충남 논산시 성동면 논산평야로436번길 48, A+행복한요양원
경기,무럭무럭지역아동센터,아동복지시설,031-262-6106,경기 용인시 수지구 진산로11번길 6 (풍덕천동),다목적복지관 2층
대구,늘푸른집,장애인복지시설,053-621-1502,대구 남구 앞산순환로89길 82 (대명동),301호
대구,세천지역아동센터,아동복지시설,053-588-9600,대구 달성군 다사읍 세천북로7길 14-5 (해피리버아파트),205호
부산,(주)양지복지센터,노인복지시설,051-702-6655,"부산 해운대구 송정중앙로 19 (송정동, 코스마아파트)",201호
광주,동구청소년상담복지센터,청소년복지시설,062-229-3308,광주 동구 금남로 246 (금남로1가),YMCA 3층
강원,MG요양원,노인복지시설,033-439-5330,강원 홍천군 화촌면 구룡령로 42,.
부산,주식회사케이티앤지부산본부,기타,051-867-8242,부산 연제구 월드컵대로 83 (연산동),주식회사케이티앤지부산본부
광주,서구벧엘지역아동센터,아동복지시설,070-8191-1671,"광주 서구 동천로18번길 19 (동천동, 동천마을3단지휴먼시아)",벧엘지역아동센터
광주,광산구비젼지역아동센터,아동복지시설,062-955-3576,광주 광산구 신가삼효로 22-12 (신가동),비젼지역아동센터
경북,청도군장애인복지관,장애인복지시설,054-373-0058,경북 청도군 청도읍 새마을로 1102-12,.
경북,안동시수어통역센터,장애인복지시설,054-853-9740,경북 안동시 영호6길 31 (옥야동),3층
경북,송담양로원,노인복지시설,054-791-6121,경북 울릉군 서면 학포길 36,.
대구,한마음주야간보호센터,노인복지시설,053-581-5930,대구 달성군 다사읍 세천북로 29,3층
광주,봄날은노인복지센터,노인복지시설,062-364-4747,광주 서구 내방로398번길 5 (농성동),2층
서울,서울에너지공사,기업체,02-2640-5152,서울 양천구 목동서로 20 (목동),서울에너지공사
서울,(사) 일과복지,기타,02-2135-1330,서울 강남구 언주로 603 (논현동),303호
서울,연동지역아동센터,아동복지시설,02-744-7270,서울 종로구 대학로3길 9 (연지동),303호
서울,송파지역자활센터,기타,02-416-7119,서울 송파구 풍성로5길 16 (풍납동),"1,2층"
서울,송파365데이케어센터,노인복지시설,02-409-2388,서울 송파구 거마로 12 (거여동),2층
서울,구립우면동지역아동센터,아동복지시설,02-573-9811,서울 서초구 바우뫼로4길 6 (우면동),2층
서울,둥지요양원,노인복지시설,02-943-1235,서울 성북구 오패산로 49 (하월곡동),2층
서울,한국지체장애인협회 도봉구지회,장애인복지시설,02-907-0136,서울 도봉구 도봉로 575 (쌍문동),607호
서울,사랑채요양원,노인복지시설,02-6081-9776,서울 중랑구 면목로 220 (면목동),2층
서울,KB골든라이프케어 위례빌리지,노인복지시설,02-6412-4820,서울 송파구 위례광장로 220 (장지동),-
서울,한국소아암재단,기타,02-3675-1145,서울 중구 중림로 47-1 (중림동),3층 한국소아암재단
서울,강서중앙데이케어센터,노인복지시설,02-2663-2223,"서울 강서구 양천로 132 (방화동, 한림리첸빌)","1층 103호, 2층 204호"
서울,행복한요양원,노인복지시설,02-936-0055,서울 노원구 한글비석로47길 58 (상계동),3층
서울,은평구수어통역센터,기타,02-358-7051,서울 은평구 증산서길 82 (증산동),-
강원,늘푸른화수원,노인복지시설,033-262-5952,강원 춘천시 동내면 고은길 84,.
강원,정훈실버빌,노인복지시설,033-255-0544,강원 춘천시 금강로 119 (운교동),.
경기,안양시아동보호전문기관,아동복지시설,031-468-9821,경기 안양시 만안구 안양로 119 (안양동),7층 안양시아동보호전문기관
경기,간호박사네요양원,노인복지시설,031-466-6700,경기 안양시 만안구 안양로 336 (안양동),11층
경기,늘푸른사랑채주야간보호센터,노인복지시설,031-319-4334,경기 시흥시 옥구상가1길 29 (정왕동),4층
경기,광명다솜요양원,노인복지시설,02-2617-1003,경기 광명시 가학로15번길 21 (가학동),광명다솜요양원
경기,아름다운요양원,노인복지시설,032-881-0665,경기 안산시 단원구 대부황금로 874-6 (대부동동),아름다운요양원
경기,경기도노인보호전문기관,노인복지시설,031-268-1389,경기 수원시 장안구 경수대로 1150 (파장동),311호
울산,장수재가노인지원서비스센터,노인복지시설,052-291-2389,울산 중구 학성로 116 (옥교동),1층
울산,지애어린이집,아동복지시설,052-247-3452,울산 남구 신복로46번길 15-30 (무거동),.
울산,참사랑주간보호센터,장애인복지시설,052-282-5265,울산 북구 신답로 48 (상안동),313호
울산,해울이거주시설,장애인복지시설,052-258-8100,울산 남구 화합로31번길 36 (야음동),.
광주,광주어울림장애인주간보호센터,장애인복지시설,062-222-9006,광주 동구 백서로 116 (학동),4층
대구,에덴실버타운,노인복지시설,053-941-9138,대구 동구 공항로 251 (지저동),에덴실버타운
부산,유앤미지역아동센터,아동복지시설,051-711-0930,부산 동구 초량중로 133 (수정동),유앤미지역아동센터
전북,나눔빌,장애인복지시설,063-536-9311,전북 정읍시 상신경1길 98 (상동),나눔빌
부산,아하브요양병원,보건의료,051-330-8600,부산 북구 만덕고개길 84 (만덕동),아하브요양병원
인천,소망재활주간보호센터,노인복지시설,032-818-1000,인천 연수구 먼우금로 189 (청학동),712호
인천,그린케어요양원,노인복지시설,032-446-3088,인천 남동구 예술로 206 (구월동),B동 701호
인천,청소년상상마당,기타,032-469-1286,인천 남동구 선수촌공원로17번길 12 (구월동),405호
인천,가족공감요양원,노인복지시설,032-207-8180,인천 남동구 구월로 335 (만수동),2층
인천,송도요양원,노인복지시설,032-813-0059,인천 연수구 청능대로 54 (동춘동),-
인천,삼산재가노인지원서비스센터,노인복지시설,032-522-7857,인천 부평구 평천로 447 (삼산동),107동 1층
인천,인천쪽방상담소,노숙인복지시설,032-772-6330,인천 계양구 계양산로 91 (계산동),-
광주,효담재가복지센터,노인복지시설,062-526-1000,광주 북구 서하로 87-5 (매곡동),효담재가복지센터
